date,STATION,faw_obs,faw_model,residual
2017-10-16,Manhattan,0.738,0.588,0.150
2017-10-16,McPherson 1S,0.688,0.567,0.121
2017-10-16,Overbrook,0.527,0.564,-0.037
2017-10-16,Parsons,0.892,0.914,-0.021
2017-10-16,Richfield,0.817,0.760,0.057
2017-10-16,Satanta,0.695,0.616,0.079
2017-10-16,Tribune,0.825,0.737,0.088
2017-10-16,Viola,0.629,0.767,-0.139
2017-10-17,Ashland Bottoms,0.832,0.743,0.088
2017-10-17,Colby,0.934,0.836,0.099
2017-10-17,Garden City,0.700,0.796,-0.096
2017-10-17,Gypsum,0.634,0.827,-0.193
2017-10-17,Hays,0.492,0.639,-0.147
2017-10-17,Lake City,0.357,0.376,-0.020
2017-10-17,Lakin,0.824,0.834,-0.010
2017-10-17,Lane,0.707,0.660,0.047
2017-10-17,Lorraine,0.917,0.809,0.108
2017-10-17,Manhattan,0.733,0.592,0.140
2017-10-17,McPherson 1S,0.659,0.559,0.100
2017-10-17,Ottawa 2SE,0.761,0.627,0.134
2017-10-17,Overbrook,0.516,0.560,-0.044
2017-10-17,Parsons,0.838,0.897,-0.059
2017-10-17,Richfield,0.807,0.756,0.051
2017-10-17,Satanta,0.691,0.610,0.081
2017-10-17,Tribune,0.817,0.733,0.084
2017-10-17,Viola,0.617,0.748,-0.130
2017-10-18,Ashland Bottoms,0.820,0.748,0.072
2017-10-18,Colby,0.928,0.834,0.095
2017-10-18,Garden City,0.698,0.786,-0.087
2017-10-18,Gypsum,0.620,0.820,-0.200
2017-10-18,Hays,0.480,0.621,-0.141
2017-10-18,Lake City,0.342,0.367,-0.025
2017-10-18,Lakin,0.818,0.826,-0.008
2017-10-18,Lane,0.703,0.651,0.052
2017-10-18,Lorraine,0.900,0.798,0.102
2017-10-18,Manhattan,0.729,0.600,0.129
2017-10-18,McPherson 1S,0.646,0.553,0.094
2017-10-18,Ottawa 2SE,0.748,0.628,0.120
2017-10-18,Overbrook,0.509,0.565,-0.056
2017-10-18,Parsons,0.811,0.885,-0.075
2017-10-18,Richfield,0.800,0.752,0.048
2017-10-18,Satanta,0.690,0.605,0.085
2017-10-18,Tribune,0.808,0.730,0.077
2017-10-18,Viola,0.610,0.729,-0.119
2017-10-19,Ashland Bottoms,0.809,0.748,0.062
2017-10-19,Colby,0.922,0.832,0.091
2017-10-19,Garden City,0.699,0.776,-0.077
2017-10-19,Gypsum,0.605,0.809,-0.204
2017-10-19,Hays,0.464,0.603,-0.139
2017-10-19,Lake City,0.326,0.357,-0.031
2017-10-19,Lakin,0.810,0.818,-0.008
2017-10-19,Lane,0.699,0.644,0.055
2017-10-19,Lorraine,0.886,0.786,0.100
2017-10-19,Manhattan,0.726,0.603,0.123
2017-10-19,McPherson 1S,0.641,0.544,0.098
2017-10-19,Ottawa 2SE,0.737,0.628,0.109
2017-10-19,Overbrook,0.499,0.566,-0.067
2017-10-19,Parsons,0.789,0.871,-0.082
2017-10-19,Richfield,0.794,0.748,0.046
2017-10-19,Satanta,0.690,0.600,0.090
2017-10-19,Tribune,0.799,0.728,0.071
2017-10-19,Viola,0.604,0.711,-0.106
2017-10-20,Ashland Bottoms,0.804,0.745,0.059
2017-10-20,Colby,0.920,0.831,0.090
2017-10-20,Garden City,0.697,0.768,-0.071
2017-10-20,Gypsum,0.592,0.797,-0.205
2017-10-20,Hays,0.455,0.586,-0.130
2017-10-20,Lake City,0.310,0.347,-0.037
2017-10-20,Lakin,0.808,0.812,-0.004
2017-10-20,Lane,0.700,0.637,0.063
2017-10-20,Lorraine,0.869,0.774,0.095
2017-10-20,Manhattan,0.724,0.604,0.121
2017-10-20,McPherson 1S,0.634,0.534,0.100
2017-10-20,Ottawa 2SE,0.725,0.625,0.100
2017-10-20,Overbrook,0.491,0.565,-0.074
2017-10-20,Parsons,0.765,0.853,-0.089
2017-10-20,Richfield,0.790,0.744,0.046
2017-10-20,Satanta,0.693,0.597,0.096
